Date Local,Site Num,Arithmetic Mean,AQI,Latitude,Longitude
2023-10-25,4002,9.7,52.0,35.050918,-85.293019
2023-10-26,4002,10.2,53.0,35.050918,-85.293019
2023-10-27,4002,14.0,60.0,35.050918,-85.293019
2023-10-28,4002,12.6,58.0,35.050918,-85.293019
2023-10-29,4002,11.1,55.0,35.050918,-85.293019
2023-10-30,4002,5.3,29.0,35.050918,-85.293019
2023-10-31,4002,4.4,24.0,35.050918,-85.293019
2023-11-01,4002,6.8,38.0,35.050918,-85.293019
2023-11-02,4002,18.8,69.0,35.050918,-85.293019
2023-11-03,4002,20.0,71.0,35.050918,-85.293019
2023-11-04,4002,26.6,84.0,35.050918,-85.293019
2023-11-05,4002,14.1,60.0,35.050918,-85.293019
2023-11-06,4002,27.7,86.0,35.050918,-85.293019
2023-11-07,4002,19.7,71.0,35.050918,-85.293019
2023-11-08,4002,17.3,66.0,35.050918,-85.293019
2023-11-09,4002,13.3,59.0,35.050918,-85.293019
2023-11-10,4002,7.9,44.0,35.050918,-85.293019
2023-11-11,4002,6.3,35.0,35.050918,-85.293019
2023-11-12,4002,10.2,53.0,35.050918,-85.293019
2023-11-13,4002,11.2,55.0,35.050918,-85.293019
2023-11-14,4002,12.2,57.0,35.050918,-85.293019
2023-11-15,4002,8.7,48.0,35.050918,-85.293019
2023-11-16,4002,7.1,39.0,35.050918,-85.293019
2023-11-17,4002,7.3,41.0,35.050918,-85.293019
2023-11-18,4002,8.1,45.0,35.050918,-85.293019
2023-11-19,4002,6.9,38.0,35.050918,-85.293019
2023-11-20,4002,9.2,51.0,35.050918,-85.293019
2023-11-21,4002,5.1,28.0,35.050918,-85.293019
2023-11-22,4002,3.9,22.0,35.050918,-85.293019
2023-11-23,4002,10.4,53.0,35.050918,-85.293019
2023-11-24,4002,8.1,45.0,35.050918,-85.293019
2023-11-25,4002,11.2,55.0,35.050918,-85.293019
2023-11-26,4002,12.0,56.0,35.050918,-85.293019
2023-11-27,4002,7.1,39.0,35.050918,-85.293019
2023-11-28,4002,5.1,28.0,35.050918,-85.293019
2023-11-29,4002,9.6,52.0,35.050918,-85.293019
2023-11-30,4002,17.2,66.0,35.050918,-85.293019
